n_features,n_trees,min_samples_leaf,max_features,criterion,MAE,StdMAE,RMSE,StdRMSE,MaxE,StdMaxE,R2,StdR2,Time,StdTime
60,50,1,0.25,mse,0.13593728384638,0.001120312884531,0.205636420408844,0.002369548331907,2.88945866666667,0.368818687918904,0.826626744108138,0.003127808060876,222.250980949402,16.4035226949014
60,50,1,0.5,mse,0.135568669307253,0.000513622085498,0.206028025487063,0.001393540436917,2.91062266666667,0.305303849598323,0.825924166215648,0.004278318023862,299.100206915538,9.84476132807617
60,50,1,0.75,mse,0.136385805779225,0.00066169931248,0.208342271925495,0.0013335636396,2.98290266666667,0.322106817137145,0.822022705015409,0.00391647875546,416.547159560521,21.7217158077773
60,50,1,auto,mse,0.137423151659108,0.001005305944898,0.211185474776029,0.002676068586163,2.95225466666667,0.303429976674832,0.817096831361551,0.005435656428989,472.941509310405,7.07746349162387
60,100,1,0.25,mse,0.134801486836051,0.000787687427887,0.203976162833796,0.001915980164407,2.85086666666667,0.379462920378556,0.829418843837563,0.003430418942808,289.679885069529,4.56796154411724
60,100,1,0.5,mse,0.134585912404727,0.001004985409127,0.204715711510169,0.002840452487008,2.84130733333333,0.396813922193038,0.828158061231219,0.004805663633077,465.702867507935,3.76062466722986
60,100,1,0.75,mse,0.135173038784644,0.000656815468428,0.206548752924395,0.001903022357562,2.981064,0.28786361133472,0.825054475674373,0.004591471132469,648.322755050659,11.5124305485915
60,100,1,auto,mse,0.136349458800899,0.000874457861875,0.209703389785814,0.00205838851531,2.95629,0.298254103810827,0.819670345569583,0.00512256373924,999.220654789607,71.4440898956677
45,50,10,0.25,mse,0.136564313612054,0.001109835106593,0.208535301368284,0.002352566008263,2.98014135252275,0.278002741902812,0.821708283625255,0.003786888342381,194.185506439209,12.4738218244521
45,50,10,0.5,mse,0.135678507609571,0.000707694888728,0.208362499403398,0.001837766318401,2.99423421757478,0.281935766348579,0.821969005394622,0.004214623689071,256.610318215688,6.47272778544563
45,50,10,0.75,mse,0.136024297862602,0.000630623966648,0.210084154453117,0.002167615230025,3.02495840647691,0.270911459133361,0.819058460906544,0.003669652678744,334.769826984406,31.1050450161429
45,50,1,0.1,mse,0.139362792889947,0.000960116825679,0.209828040854419,0.003295978018209,2.94959333333333,0.298264944206024,0.819465642942429,0.005081923738203,161.811826197306,10.6328157584585
45,100,1,0.1,mse,0.138186144224966,0.000852412803015,0.208118465851429,0.001617763800734,2.99314066666667,0.258714154682129,0.822423466436455,0.003341346690203,176.82600795428,5.05558936937807
60,50,1,0.1,mse,0.138588518068704,0.000660013778833,0.208682027680023,0.001650702675916,2.90036533333333,0.31944182063649,0.821424909078688,0.004793550530254,148.774936119715,4.14460574568199
60,100,1,0.1,mse,0.137339324106089,0.001010268244292,0.206850669765185,0.002240532186877,2.887482,0.349331876323933,0.82457330881464,0.003607988838471,197.699530045191,4.8719132902615
15,50,1,0.1,mse,0.14367870215065,0.001286762884845,0.216485399245165,0.00314889127054,2.92721333333333,0.325120972084067,0.807793445011876,0.006136231960155,131.402623033524,7.61342693417837
15,100,1,0.1,mse,0.14285521069196,0.001411031840909,0.215577501217969,0.002568339120318,2.95546066666667,0.289651434071291,0.809469136696549,0.004108390129055,138.685540358225,6.21574217482378
10,50,1,0.1,mse,0.145274688466234,0.002116824633195,0.220364984788527,0.004422871078013,2.960396,0.33440599166881,0.800837847300366,0.008681924815463,130.783942842484,3.37706782463514
10,100,1,0.1,mse,0.14397532574953,0.00246166558122,0.218563886975805,0.003837053932462,2.961894,0.280968164597581,0.804119364448153,0.006440783641536,154.268581899007,9.83405624077042
136,50,1,0.1,mse,0.139171510888883,0.000572797407669,0.20989953652723,0.001737655655712,2.962176,0.25319848269161,0.819353066042135,0.003636656191597,126.242384513219,4.63705809109368
136,50,1,0.25,mse,0.136594441461642,0.000852217268517,0.206582480120466,0.002399208851621,2.89020133333333,0.334417647657669,0.825030465503505,0.003498397376595,279.761040401459,16.7326003411431
136,50,1,0.5,mse,0.136126393168699,0.000589311946196,0.207008973242394,0.001491211719742,2.95273733333333,0.288703176093063,0.824302073290911,0.002979427894363,480.456304597855,23.0872286106876
136,50,1,0.75,mse,0.136796683269551,0.000822124144281,0.20899304378739,0.002255709807664,2.95111733333333,0.317492248545098,0.820923438062951,0.003905352227129,668.986319796244,8.80792547184812
136,50,1,auto,mse,0.1378580439079,0.000802802945251,0.211912749997746,0.002369608158649,2.9555,0.287310022936897,0.815885060893336,0.004327552109325,894.013176854451,15.0861032280755
136,100,1,0.1,mse,0.137978534111429,0.000603351355559,0.208017206253108,0.002116145870011,2.92728733333333,0.301044060196436,0.822585663737189,0.003433624957752,223.394178835551,10.3959684922768
136,100,1,0.25,mse,0.135522360695404,0.000890335624991,0.205103459547953,0.002415312380129,2.817808,0.420788826470793,0.827529569499372,0.00350416061661,574.627497704824,24.414087476677
136,100,1,0.5,mse,0.135160932129715,0.000860396877617,0.205776095444495,0.002464765049963,2.93536333333333,0.280857995736082,0.826393275035207,0.004426208647301,1065.70408322016,97.7378693923193
136,100,1,0.75,mse,0.135690105388074,0.000848048460957,0.207387139890484,0.002655467710051,2.90498666666667,0.332074770750337,0.823639369195799,0.00493251971303,1436.07620938619,91.2912418905176
