n_features,n_trees,min_samples_leaf,max_features,criterion,MAE,StdMAE,RMSE,StdRMSE,MaxE,StdMaxE,R2,StdR2,Time,StdTime
136,100,1,0.75,mse,0.104888996154648,0.000599722063678,0.148210852480279,0.001050702330048,1.690052,0.230239083221478,0.855454442975774,0.001783869133957,1006.96552028656,42.1584884517012
136,100,1,auto,mse,0.105602433997018,0.000653386511959,0.1493930021274,0.001194602586594,1.71276533333333,0.231842207600102,0.853144626410671,0.001790447532565,1308.21475586891,59.9064604872212
10,50,10,0.1,mse,0.12126955100701146,0.001288108435917002,0.17034150878901028,0.002267323524276144,1.7089386796822017,0.21036882239670548,0.8090356390526862,0.004640347191099099,97.59631024996439,5.049998914264819
10,50,10,0.25,mse,0.11816066223968384,0.001804871332187169,0.166094921798049,0.0028020327435657076,1.683977822955948,0.24080660649476254,0.8184134767814544,0.005982208795511369,109.23102827072144,9.166610987839132
10,50,10,0.5,mse,0.11596783489581418,0.0018551407378853625,0.16356732867915502,0.00334896701556829,1.6945102820891582,0.22979110357956747,0.8238782827753489,0.007398070327630125,109.17502331733704,5.7245088619537965
10,50,10,0.75,mse,0.11595432288856553,0.0014039678921673366,0.16372428261493657,0.002639734289419121,1.738996373454136,0.19765265099859375,0.8235827769130035,0.004979605516847455,114.89744450251261,2.5171220379439774
10,50,10,auto,mse,0.11611788037981331,0.001736436834766499,0.16436860927357733,0.002877828013726625,1.7562755036278463,0.22478279747974597,0.822164435525389,0.006413047341254397,126.32736039161682,4.5585689514818775
10,100,10,0.1,mse,0.12117856990818976,0.001720513049496058,0.17004738934006405,0.0028056264949752616,1.6977752842884797,0.21212556037590838,0.8096731930176859,0.006235377186236207,97.19857001304626,5.001782012027016
10,100,10,0.25,mse,0.11757918383904668,0.0012416257317081432,0.16551392972601647,0.002162745626852633,1.6833813561823776,0.24612346705352905,0.819700120326098,0.004811473409780753,116.59978216489156,12.147134133458824
10,100,10,0.5,mse,0.11557537985748098,0.001780715907675026,0.16307173595835567,0.003180782394243759,1.7074727721412917,0.1996449688093998,0.8249628850061995,0.006408486846291137,130.2735367457072,7.624065339523199
10,100,10,0.75,mse,0.11637048351991539,0.002024955045878222,0.16424227294267538,0.0028366101873646835,1.7172468258155285,0.21329513898502586,0.8224033952972611,0.0072079489581673255,141.99323037465413,2.940794001373239
10,100,10,auto,mse,0.11631041110660477,0.0018893873275801696,0.16468869897579005,0.003232288805468612,1.7322590242936786,0.2195931796566871,0.8214717571863948,0.006811958094874117,166.22139709790548,4.170051177180699
15,50,10,0.1,mse,0.11731435783369336,0.001176184830982349,0.1643211924450016,0.0018186848574575582,1.6402560235248096,0.249214030378025,0.8222913727387279,0.003960342596359081,92.2372143904368,2.1181084702496675
15,50,10,0.25,mse,0.11211818252776576,0.000876503822963138,0.1578521766499809,0.0012902008001021942,1.657473301706785,0.23070941188722624,0.8360052146463676,0.0033957822873582656,99.88663547833761,0.9218892863071743
15,50,10,0.5,mse,0.11135856234270647,0.0013725787767204698,0.15713322507337635,0.002207926006378348,1.6668729779930096,0.2238420614552161,0.8375104139088735,0.004171252335435576,115.03730079332988,1.7749143307280821
15,50,10,0.75,mse,0.11147701552904106,0.0012515610228015087,0.1576059559101385,0.0022324856814584055,1.7097557932371426,0.20788966878580414,0.8365089813810169,0.004958739890953404,132.05664857228598,6.633219137610219
15,50,10,auto,mse,0.11170233514386,0.0007216550405387628,0.15813577831103964,0.0013259534176061321,1.7907675207889493,0.17976106195304256,0.8354287644057444,0.0029663069408388835,164.20429967244465,11.252985074825308
15,100,10,0.1,mse,0.11680788378504992,0.0011192246438371301,0.16372121796137304,0.001633930060120592,1.641789577782121,0.24309190494481447,0.8236037009004503,0.0036367144042257363,103.04977181752523,6.309269606223488
15,100,10,0.25,mse,0.11157184299070526,0.0010128401664710074,0.15713320560047248,0.0015759565839916165,1.647043631079337,0.23983116978953392,0.8375215223428298,0.002762824380091891,131.562402788798,7.631517424050358
15,100,10,0.5,mse,0.11142930804611921,0.0014577611387063874,0.15730003485813546,0.002299876982058288,1.6454131502111151,0.24813261632247693,0.8371488518118727,0.0046912021039252315,153.37484079996744,11.762394780829915
15,100,10,0.75,mse,0.1108747017112405,0.001038762021615423,0.1566673325200632,0.001514142621741759,1.7255160918856844,0.20965296973036782,0.8384655642198549,0.003830638333241816,177.24360287984211,5.347562010293035
15,100,10,auto,mse,0.1109592872011239,0.0008626339096074718,0.15712061967136337,0.0014873370703878783,1.7941974819451154,0.17288341614472377,0.8375598933966033,0.0019247461586303343,239.74386019706725,16.033324253636483
45,50,10,0.1,mse,0.10727800906188273,0.0006291424429996277,0.15122052471220726,0.0010254593996814163,1.6248205946834837,0.28170580762425157,0.8495198326425207,0.00199859767759038,108.55366317431132,3.499458921468024
45,50,10,0.25,mse,0.10569940135739528,0.0006136604618816025,0.14931405520376448,0.0011592828659551739,1.6799348811394086,0.24158114596799918,0.8532847001673954,0.0023725549708887564,128.21781061490375,6.042373322640017
45,50,10,0.5,mse,0.10588993533556822,0.00040220606635273744,0.14973205546370208,0.0009360348403479431,1.6453804296369081,0.2624100201474752,0.8524713618718374,0.0020445016846905037,168.31577337582905,2.529065707315665
45,50,10,0.75,mse,0.10619272926688186,0.0005693013821442787,0.15031280852366943,0.001199559877330487,1.6939528625909448,0.22735708213364136,0.8513222060680102,0.0019167527100057518,208.88502963383993,3.6240905924037503
45,50,10,auto,mse,0.10689362677378937,0.0006221081418383085,0.15169835452861583,0.0012766081005877155,1.7335909413831236,0.22783315645459767,0.8485743174260069,0.0018964952115291902,253.33617213567098,4.279465548604519
45,100,10,0.1,mse,0.10690640460168017,0.0006931828166756436,0.15070561175001398,0.0009816437293216796,1.5969140815776663,0.30218128368642777,0.8505331058961605,0.0024272116574384065,116.19028328259786,2.116580407351819
45,100,10,0.25,mse,0.10535793500979722,0.0007819303542309619,0.14892810983214946,0.0013129167159030039,1.6674012242080367,0.24358976902034074,0.8540364049364041,0.002755062644007943,166.6203246911367,2.4703405627473662
45,100,10,0.5,mse,0.1054562876296344,0.000611510487289834,0.14924227267022133,0.0012450524750533794,1.6754517045364745,0.24610200574350466,0.8534028226524878,0.0033796343763770284,250.07344870567323,3.639218834203588
45,100,10,0.75,mse,0.10582894681015606,0.0005866547574827128,0.14987436085304326,0.0011482704831922272,1.7030126061530728,0.22776225448424114,0.8521794119299921,0.0022124799728600298,331.3081136862437,3.374629475641605
45,100,10,auto,mse,0.10657284262468059,0.000499600296316418,0.15127101110388014,0.0008844599919080698,1.7622637547459667,0.20583618098600337,0.8494281708720679,0.0016142443755484273,434.1269288698832,25.346095319735376
60,50,10,0.1,mse,0.10677043673364851,0.0006427090870802807,0.15053972633304422,0.0009839569951672544,1.615830968533893,0.270612919950176,0.8508802810923236,0.0017396238632542153,111.3321395556132,4.6909938462323995
60,50,10,0.25,mse,0.1055760409675716,0.0006665776714704422,0.14910850599329872,0.0012661594871249092,1.6663134636011236,0.25562085973269666,0.8536968094272253,0.002167647800348122,161.07028872172037,9.573603872754775
60,50,10,0.5,mse,0.10574306135909571,0.0008016619314042934,0.14956248756313212,0.0014754476879278188,1.6477096496873394,0.2674856723401235,0.8527937351803262,0.0026359055629459963,216.17802872657776,21.168511431227895
60,50,10,0.75,mse,0.10622576480108513,0.0005592185063787268,0.15035572320864388,0.0012348056953159637,1.712319774206485,0.24647800767717082,0.8512264580136245,0.00214958546145943,292.28504169782,29.252198686604224
60,50,10,auto,mse,0.10693295091294144,0.0008048716088009839,0.15169663312470114,0.0014875057372734067,1.7968373195634713,0.19627171167049512,0.8485602972718534,0.002756278701414732,373.00848441123964,29.16059583577431
60,100,10,0.1,mse,0.10633916268499652,0.0005179312977274214,0.1500015478367184,0.0009619810791526867,1.6466154155718928,0.27028077776855725,0.8519339584299391,0.0019545631787861325,144.80135448773703,12.139961754028842
60,100,10,0.25,mse,0.1051402816667606,0.0006080889919355538,0.14860183642052585,0.0011660533916036141,1.6270948481107925,0.26570274609717376,0.85468264600775,0.002458643620674065,220.94362948735554,11.666503184725137
60,100,10,0.5,mse,0.10533193472355225,0.0007585938409394808,0.148982007134026,0.0017813715814374363,1.6632775018334227,0.24274379767752985,0.8539321254353224,0.0031662353186492566,337.54465511639916,16.77419679958086
60,100,10,0.75,mse,0.10581353699467272,0.0005815288154630447,0.14982337919441432,0.0013135229150784422,1.70836909405267,0.23421331144181007,0.8522893699292896,0.002426618796981963,454.31087865829465,15.891554997897002
60,100,10,auto,mse,0.10656671849654163,0.0005152559914985691,0.15123096903942693,0.0009810677965642598,1.8034857940569002,0.18337907337287496,0.8495045775088397,0.0013373440561451303,604.9262709140778,23.015752099675325
136,50,10,0.1,mse,0.10730264124909632,0.0005160610966845662,0.15136711012725088,0.0010540834888107787,1.6662764137931114,0.2776571755369958,0.8492254729202593,0.002401411934621631,79.0146339893341,1.7407743916655662
136,50,10,0.25,mse,0.10580312135042104,0.00048826461262746804,0.14948704220749712,0.0010390833334682783,1.630298996938229,0.2852205042828239,0.8529506796055588,0.0019673931527585294,162.94502404530843,2.2262789904301084
136,50,10,0.5,mse,0.10590815539294095,0.0004946177459794731,0.14969532993230064,0.001030146510114629,1.6447860255863354,0.2416184792221194,0.8525271265748003,0.002632956537845319,308.23183495203654,8.816712278869817
136,50,10,0.75,mse,0.10633426641399012,0.0005741179216749513,0.15051016275322293,0.0012226899943103256,1.6752159058698581,0.24611015815976897,0.8509360728889291,0.002419698785084237,464.28827627499896,6.103527329197377
136,50,10,auto,mse,0.10721117811107819,0.0005244190320644845,0.15201932476529842,0.0012077404222796135,1.772230836371444,0.18996093805555825,0.8479271301735516,0.001994333939573127,571.2078368504842,24.93498404942666
136,100,10,0.1,mse,0.10689090619000727,0.000675624854042861,0.15082864801431908,0.0012526995870763486,1.6326315060103094,0.2738890393492762,0.8503024121236038,0.002359379908562483,131.19752470652261,2.1259593266952486
136,100,10,0.25,mse,0.10534399135830831,0.0005538498702172888,0.1488500230813998,0.0010107436131161073,1.5937411393466088,0.2795857402984317,0.8541962650761358,0.0019013938208481981,294.5144216060638,3.006760015281706
136,100,10,0.5,mse,0.10554031975399426,0.0007020905564980747,0.14928352331894962,0.0012225340115326953,1.661217360828643,0.26696245807312546,0.8533534426473278,0.0018217198322356843,558.7183779716491,4.7084632452862705
136,100,10,0.75,mse,0.10600805473225003,0.0004958038498340615,0.15010374856659447,0.0012106730493168733,1.6975490689682229,0.24524039181102492,0.8517278229750599,0.0022937970336856244,870.0529088973999,55.51854279452797
136,100,10,auto,mse,0.10669371513236788,0.00036684474334920463,0.15132693279017856,0.0006082403827976212,1.76603842219439,0.18624347658215715,0.8493054617953651,0.0019097171945589933,1172.0268589019774,53.24511845944677
